Timestamp,Quat_w,Quat_x,Quat_y,Quat_z,X Angle,Y Angle,Z Angle
1.750274,0.9825582,0.04633626,-0.1798901,0.0084834,5.4,339.25,1.071974E-07
1.76665,0.9788369,0.04616076,-0.1991466,0.009391513,5.399999,337,0
1.783638,0.9761463,0.04603388,-0.2119421,0.009994933,5.399999,335.5,0
1.79995,0.9727959,0.04587588,-0.2268242,0.01069676,5.4,333.75,-1.071974E-07
1.816547,0.9686891,0.0456822,-0.2437673,0.01149577,5.399999,331.75,1.071974E-07
1.833166,0.9649467,0.04348044,-0.2585567,0.01165055,5.159998,330,-2.143119E-07
1.850116,0.9615683,0.0413104,-0.2711903,0.01165074,4.919998,328.5,1.071164E-07
1.866364,0.9574393,0.03811997,-0.28588,0.01138217,4.559998,326.75,6.423635E-07
1.882766,0.9523815,0.03592094,-0.3025706,0.01141204,4.319999,324.75,-3.210773E-07
1.899553,0.9490973,0.03380661,-0.3129653,0.01114775,4.079998,323.5,1.069929E-07
1.918078,0.9456954,0.0317024,-0.323323,0.01083871,3.839998,322.25,1.069618E-07
1.941869,0.9407715,0.02759274,-0.3377714,0.009906807,3.359998,320.5,1.069055E-07
1.949427,0.9348148,0.02447897,-0.3541697,0.009274252,2.999998,318.5,0
1.965834,0.9332856,0.02346095,-0.3582548,0.009005813,2.879997,318,-1.068567E-07
1.982705,0.9285631,0.02139633,-0.3704591,0.008536266,2.639998,316.5,-3.205053E-07
1.999089,0.9253376,0.01938303,-0.3785655,0.007929809,2.399997,315.5,2.670385E-07
2.015404,0.9203914,0.01445864,-0.3906829,0.006137328,1.799997,314,2.135488E-07
2.034548,0.9187187,0.01154555,-0.3947127,0.004960358,1.439997,313.5,-5.337771E-08
2.049214,0.9170355,0.006722318,-0.3987383,0.002922947,0.8399971,313,5.336658E-08
2.065387,0.9170601,-2.278188E-08,-0.3987491,-9.905844E-09,-2.846718E-06,313,-3.053332E-13
2.083669,0.9212698,-0.01254257,-0.388686,-0.00529174,358.44,314.25,-5.338063E-08
2.104938,0.9252949,-0.02132106,-0.3785481,-0.008722678,357.36,315.5,0
2.117903,0.9298952,-0.03117279,-0.3662955,-0.01227929,356.16,317,1.069618E-07
2.131156,0.9343949,-0.03720251,-0.3540106,-0.01409477,355.44,318.5,-3.211818E-07
2.147609,0.9372841,-0.04125053,-0.3457823,-0.01521812,354.96,319.5,1.071359E-07
2.164266,0.9457341,-0.04757789,-0.3210334,-0.01615052,354.24,322.5,-2.145266E-07
2.180059,0.9509293,-0.05283227,-0.3043949,-0.01691174,353.64,324.5,4.295304E-07
2.198381,0.9553536,-0.05508536,-0.2898033,-0.01670996,353.4,326.25,-2.148674E-07
2.213249,0.9612694,-0.05845698,-0.2688434,-0.01634898,353.04,328.75,-6.450838E-07
2.229968,0.9651377,-0.06072135,-0.2540995,-0.0159866,352.8,330.5,1.075699E-07
2.246823,0.9681849,-0.06396736,-0.2413956,-0.01594885,352.44,332,-1.076575E-07
2.263332,0.971194,-0.06518771,-0.2286858,-0.01534967,352.32,333.5,-3.23063E-07
2.27926,0.9739651,-0.06742306,-0.2159229,-0.01494733,352.08,335,-2.15499E-07
2.296238,0.9775851,-0.06767365,-0.1988919,-0.01376836,352.08,337,-3.232485E-07
2.313345,0.9792836,-0.06779122,-0.1903534,-0.01317728,352.08,338,-6.464969E-07
2.32998,0.9809074,-0.06790363,-0.1818004,-0.01258519,352.08,339,-3.232484E-07
2.345816,0.9816913,-0.06795792,-0.1775187,-0.0122888,352.08,339.5,-4.309979E-07
2.36339,0.9842877,-0.06813764,-0.1625066,-0.01124957,352.08,341.25,-2.15499E-07
2.379555,0.9853303,-0.06820982,-0.156061,-0.01080338,352.08,342,-1.077495E-07
2.396486,0.9873596,-0.06731147,-0.1431604,-0.009759697,352.2,343.5,3.23155E-07
2.412529,0.989219,-0.06639758,-0.1302331,-0.008741406,352.32,345,1.076877E-07
2.454778,0.9925836,-0.06557936,-0.1021358,-0.006748049,352.44,348.25,0
2.45806,0.9960939,-0.06581131,-0.05874273,-0.003881095,352.44,353.25,5.382875E-08
2.474065,0.9964571,-0.06583527,-0.0522221,-0.003450281,352.44,354,-5.382875E-08
